ID	Pair	Phase	ORR	Randomization	Dose	Combination
1	1	0	0.784	0	1	0
2	1	1	0.426	1	1	0
3	2	0	0.67	0	1	0
4	2	1	0.719	1	1	0
5	3	0	0.51	0	1	0
6	3	1	0.592	1	0	0
7	4	0	0.95	0	1	1
8	4	1	0.82	1	1	1
9	5	0	0.3	0	1	0
10	5	1	0.782	1	1	1
11	6	0	0.446	1	1	0
12	6	1	0.885	1	1	1
13	7	0	0.969	0	1	1
14	7	1	0.836	1	1	1
15	8	0	0.54	0	1	0
16	8	1	0.222	1	2	0
17	9	0	0.157	0	1	0
18	9	1	0.059	1	1	0
19	10	0	0.12	0	1	0
20	10	1	0.045	1	1	1
21	11	0	0.028	0	1	0
22	11	1	0.105	1	1	0
23	12	0	0.14	0	1	0
24	12	1	0.11	1	1	0
25	13	0	0.642	1	1	0
26	13	1	0.436	1	1	0
27	14	0	0.88	1	1	1
28	14	1	0.684	1	1	1
29	15	0	0.429	1	1	1
30	15	1	0.421	1	1	1
31	16	0	0.01	1	1	0
32	16	1	0.016	1	1	1
33	17	0	0.2	0	1	1
34	17	1	0.36	1	1	1
35	18	0	0.212	1	1	1
36	18	1	0.17	1	1	1
37	19	0	0.038	1	1	1
38	19	1	0.134	1	1	1
39	20	0	0.637	0	1	0
40	20	1	0.4	1	1	0
41	21	0	0.609	0	1	0
42	21	1	0.561	1	1	0
43	22	0	0.184	1	1	0
44	22	1	0.091	1	1	0
45	23	0	0.145	0	1	0
46	23	1	0.2	1	1	0
47	24	0	0.481	0	1	1
48	24	1	0.312	1	1	1
49	25	0	0.709	0	1	0
50	25	1	0.706	1	1	0
51	26	0	0.541	0	1	0
52	26	1	0.653	1	1	0
53	27	0	0.289	1	1	1
54	27	1	0.64	1	1	1
55	28	0	0.28	0	1	0
56	28	1	0.264	1	1	0
57	29	0	0.348	0	1	0
58	29	1	0.139	1	1	0
59	30	0	0	0	1	0
60	30	1	0.22	1	1	0
61	31	0	0.76	0	1	1
62	31	1	0.64	1	1	1
63	32	0	0.59	0	1	0
64	32	1	0.53	1	1	0
65	33	0	0.46	1	1	0
66	33	1	0.329	1	1	0
67	34	0	0.81	0	1	1
68	34	1	0.929	1	1	1
69	35	0	0.917	0	1	1
70	35	1	0.785	1	1	1
71	36	0	0.375	0	1	1
72	36	1	0.607	1	1	1
73	37	0	0.301	1	1	1
74	37	1	0.235	1	1	1
75	38	0	0.769	0	1	1
76	38	1	0.871	1	1	1
77	39	0	0.237	0	1	0
78	39	1	0.19	1	1	0
79	40	0	0.389	1	1	0
80	40	1	0.276	1	1	1
81	41	0	0.07	0	1	0
82	41	1	0.023	1	1	0
83	42	0	0.37	1	1	1
84	42	1	0.076	1	1	1
85	43	0	0.61	0	1	1
86	43	1	0.144	1	2	1
87	44	0	0.38	0	1	1
88	44	1	0.29	1	1	1
89	45	0	0.06	1	1	0
90	45	1	0.05	1	1	0
91	46	0	0.33	1	1	0
92	46	1	0.17	1	1	0
93	47	0	0.22	1	1	0
94	47	1	0.25	1	1	0
95	48	0	0.35	0	1	0
96	48	1	0.3	1	1	0
97	49	0	0.139	1	1	0
98	49	1	0.086	1	1	0
99	50	0	0.03	1	1	0
100	50	1	0.099	1	1	0
101	51	0	0.04	0	1	1
102	51	1	0.039	1	1	1
103	52	0	0.614	0	1	1
104	52	1	0.2245	1	1	1
105	53	0	0.2	0	1	0
106	53	1	0.45	1	1	0
107	54	0	0.4	0	1	0
108	54	1	0.279	1	2	0
109	55	0	0.5	0	1	0
110	55	1	0.648	1	1	0
